ID,StreetNum,StrName,Area,Rooms,FullBath,HalfBath,Floors,Zip,SoldPrice,ListPrice,MT,BedRoomsBsmt,BedRooms,GarageSpaces,ClosedDate,GarageType,BsmtBath,AbvGrdSF,BsmntSF,Style,LotDims,LotSize,,,,,,,
162,382,THORN TREE,22,9,2,1,2,60000,305000,319900,24,1,4,2,3/20/2019,Attached,Yes,0,,Other,12989,12989,,,,,,,
163,383,Thackeray,22,11,4,2,2,60000,715000,775000,26,1,5,2,3/21/2019,Attached,Yes,0,,Colonial,100X125,12500,,,,,,,
164,384,Broadview,22,12,3,2,2,60000,801000,879900,30,0,5,4,3/22/2019,Attached,No,0,,Cape Cod,56X130,7280,,,,,,,
165,385,Judson,22,9,2,1,2,60000,576000,575000,30,0,4,2,3/23/2019,Attached,No,0,,Other,50 X 185,9250,,,,,,,
166,386,Hill,22,7,3,0,1,60000,458000,475000,30,0,3,1,3/24/2019,Attached,Yes,0,,Ranch,71X171,12141,,,,,,,
167,387,Walker,22,8,3,0,2,60000,358000,379000,30,0,3,1,3/25/2019,Attached,Yes,0,,Cape Cod,7305 SQ. FT.,7305,,,,,,,
168,388,Carol,22,11,4,1,2,60000,701500,740000,32,0,4,1,3/26/2019,Attached,No,0,,Other,171X158X57X207,27018,,,,,,,
169,389,Aspen,22,10,3,2,1,60000,675000,699000,33,0,4,2,3/27/2019,Attached,Yes,6000,,Ranch,110X184X108X187,20240,,,,,,,
170,390,Deere Park,22,7,2,1,3,60000,2600000,2850000,35,0,3,2,3/28/2019,Attached,No,0,,Other,80X350,28000,,,,,,,
171,391,Ridgewood,22,7,1,1,2,60000,340000,384900,40,0,3,1,3/29/2019,Detached,No,0,,Tudor,48X150X48X150,7200,,,,,,,
172,392,FRIAR TUCK,22,7,2,1,1.5,60000,390000,399900,40,0,3,2,3/30/2019,Detached,No,0,,Bi-Level,136X36X156X50,4896,,,,,,,
173,393,Burton,22,6,2,0,1.5,60000,380000,399000,40,0,3,2,3/31/2019,Attached,No,1681,,Other,150 X 40,6000,,,,,,,
174,394,Charal,22,10,2,1,2,60000,554000,599000,43,0,5,2,4/1/2019,Attached,No,2876,,Colonial,77X125X93X162,9625,,,,,,,
175,395,Sumac,22,8,2,1,1,60000,312000,319000,43,0,3,0,4/2/2019,None,Yes,0,,Ranch,49 X 166,8134,,,,,,,
176,396,Wildrose,22,14,4,2,2,60000,700000,750000,43,2,4,3,4/3/2019,Attached,Yes,0,,Contemporary,112 X 140,15680,,,,,,,
