MLS #,Stat,Closed Date,Sold Pr,Type,Yr Blt,Street #,Str Name,Area,Zip,ASF,# Rms,# Full Baths,# Half Baths,Bsmt Bth,Beds,Bsmt. Beds,Garage Type,# Garage Spaces,# Parking Spaces,,
09872761,CLSD,8/6/2018,350000,2 Stories,1955,5020,Wright,76,60077,0,8,3,1,No,4,0,Detached,2,0,,
09983880,CLSD,9/21/2018,350000,Split Level w/ Sub,1969,5333,Suffield,76,60077,0,8,2,1,No,4,0,Detached,2,0,,
09863737,CLSD,7/10/2018,353000,1 Story,1955,5045,Wright,76,60077,0,8,2,0,Yes,3,1,Detached,2.5,0,,
09606105,CLSD,5/26/2017,355000,1 Story,1957,4031,Enfield,76,60076,0,8,2,0,Yes,3,0,Detached,2,0,,
09841784,CLSD,3/16/2018,359500,1.5 Story,1962,9435,Latrobe,76,60077,0,10,2,0,Yes,4,0,Detached,2,0,,
09666784,CLSD,8/4/2017,359900,2 Stories,1950,5129,Harvard,76,60077,0,7,2,0,Yes,3,0,Detached,2,0,,
09622613,CLSD,7/6/2017,365000,1 Story,1956,5020,Greenleaf,76,60077,0,8,2,0,Yes,3,1,Detached,2,0,,
09720598,CLSD,5/14/2018,365000,2 Stories,1948,9723,TRIPP,76,60076,0,7,2,1,Yes,3,0,Detached,2,0,,
09697415,CLSD,11/20/2017,367000,2 Stories,1953,8534,Harding,76,60076,0,10,2,1,Yes,3,0,Detached,2.5,0,,
09755061,CLSD,2/12/2018,368000,2 Stories,1942,5012,Morse,76,60077,0,9,1,1,Yes,3,1,Detached,2.5,0,,
09511333,CLSD,4/14/2017,369000,2 Stories,1928,3320,CAPITOL,76,60076,0,9,2,0,Yes,3,1,Detached,2,0,,
09860074,CLSD,4/3/2018,379000,2 Stories,UNK,8044,Kildare,76,60076,0,9,2,0,No,4,0,Detached,1,0,,
09496281,CLSD,7/12/2017,380000,2 Stories,1952,5406,Crain,76,60077,0,10,2,1,Yes,3,0,Detached,2.5,0,,
